epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3794,0.34335,1.26468,0.82051,0.9988,1,0.995,0.97951,0.2573,0.46355,0.77433,0.000664,0.000664,0.000664
2,103.816,0.31339,0.51017,0.81417,0.99986,1,0.995,0.98463,0.22394,0.23529,0.77816,0.00131749,0.00131749,0.00131749
3,155.232,0.29972,0.35849,0.81154,1,0.98874,0.99493,0.98956,0.21287,0.24336,0.77214,0.00195779,0.00195779,0.00195779
4,206.78,0.26996,0.29165,0.80588,0.99896,1,0.995,0.99365,0.17448,0.18262,0.76889,0.0019406,0.0019406,0.0019406
5,258.545,0.26365,0.26922,0.80699,0.99882,1,0.995,0.99003,0.18056,0.19139,0.76831,0.0019208,0.0019208,0.0019208
6,310.351,0.24815,0.25199,0.80142,0.99865,1,0.99454,0.99205,0.19039,0.19615,0.77016,0.001901,0.001901,0.001901
7,362.216,0.22492,0.22845,0.79991,0.99882,1,0.99498,0.99495,0.13836,0.14371,0.76387,0.0018812,0.0018812,0.0018812
8,414.16,0.22161,0.22498,0.79911,0.99886,1,0.995,0.99421,0.16086,0.15906,0.76596,0.0018614,0.0018614,0.0018614
9,466.106,0.20749,0.2119,0.79344,0.99554,1,0.99433,0.99416,0.14915,0.15567,0.76302,0.0018416,0.0018416,0.0018416
10,518.099,0.21329,0.20665,0.79702,0.99991,1,0.995,0.99499,0.12726,0.12536,0.761,0.0018218,0.0018218,0.0018218
11,570.087,0.19657,0.198,0.7956,0.99994,1,0.995,0.99487,0.12346,0.12662,0.7609,0.001802,0.001802,0.001802
12,622.353,0.19212,0.19101,0.79267,0.99992,1,0.995,0.9949,0.12577,0.12891,0.76103,0.0017822,0.0017822,0.0017822
13,674.418,0.1897,0.19129,0.79207,0.99932,1,0.995,0.99491,0.12228,0.12539,0.76115,0.0017624,0.0017624,0.0017624
14,726.528,0.19034,0.18764,0.79327,0.99994,1,0.995,0.99499,0.11986,0.12083,0.75839,0.0017426,0.0017426,0.0017426
15,778.878,0.17805,0.17833,0.78939,0.9998,1,0.995,0.995,0.10565,0.11786,0.75892,0.0017228,0.0017228,0.0017228
16,831.297,0.17773,0.17574,0.79178,0.99994,1,0.995,0.99499,0.10813,0.1102,0.75934,0.001703,0.001703,0.001703
17,883.901,0.16916,0.17083,0.79086,0.99984,1,0.995,0.995,0.10911,0.11394,0.75831,0.0016832,0.0016832,0.0016832
18,936.317,0.17738,0.17251,0.7921,0.99892,1,0.9948,0.9948,0.10609,0.10906,0.75867,0.0016634,0.0016634,0.0016634
19,988.744,0.17647,0.17044,0.79289,0.99986,1,0.995,0.99497,0.10189,0.11269,0.7592,0.0016436,0.0016436,0.0016436
20,1041.22,0.17023,0.16698,0.78898,0.99986,1,0.995,0.995,0.10989,0.10891,0.75701,0.0016238,0.0016238,0.0016238
21,1093.63,0.17145,0.16699,0.7875,0.99894,1,0.99464,0.99461,0.10339,0.10701,0.75742,0.001604,0.001604,0.001604
22,1146.15,0.16282,0.163,0.78675,0.99969,1,0.995,0.995,0.10018,0.09947,0.75722,0.0015842,0.0015842,0.0015842
23,1198.73,0.15932,0.15934,0.78693,0.99872,1,0.99475,0.99475,0.1034,0.10534,0.75759,0.0015644,0.0015644,0.0015644
24,1251.46,0.16127,0.15867,0.78969,0.99887,1,0.99483,0.99483,0.10043,0.10469,0.75702,0.0015446,0.0015446,0.0015446
25,1303.95,0.15589,0.15283,0.79068,0.99994,1,0.995,0.995,0.09596,0.10045,0.75743,0.0015248,0.0015248,0.0015248
26,1356.44,0.15654,0.15057,0.78811,0.99994,1,0.995,0.995,0.10053,0.09617,0.75784,0.001505,0.001505,0.001505
27,1408.82,0.15268,0.14867,0.78761,0.99993,1,0.995,0.995,0.09834,0.09696,0.75664,0.0014852,0.0014852,0.0014852
28,1461.41,0.1536,0.14968,0.78885,0.99788,1,0.99469,0.99469,0.09777,0.10115,0.75696,0.0014654,0.0014654,0.0014654
29,1513.96,0.15045,0.14648,0.79022,0.99994,1,0.995,0.995,0.08574,0.0915,0.75697,0.0014456,0.0014456,0.0014456
30,1566.46,0.15085,0.14729,0.78777,0.99991,1,0.995,0.995,0.08641,0.09192,0.75583,0.0014258,0.0014258,0.0014258
31,1618.79,0.14739,0.14549,0.78838,0.99892,1,0.995,0.995,0.08485,0.08774,0.75643,0.001406,0.001406,0.001406
32,1671.32,0.14652,0.14699,0.78754,0.99891,1,0.99498,0.99498,0.09277,0.09142,0.75667,0.0013862,0.0013862,0.0013862
33,1723.65,0.14615,0.14113,0.7875,0.99891,1,0.9949,0.9949,0.08718,0.08668,0.756,0.0013664,0.0013664,0.0013664
34,1776.12,0.14282,0.13702,0.78728,0.99986,1,0.995,0.995,0.08375,0.08643,0.75565,0.0013466,0.0013466,0.0013466
35,1828.63,0.14285,0.13873,0.78662,0.99896,1,0.995,0.99499,0.08346,0.08276,0.7555,0.0013268,0.0013268,0.0013268
36,1881.02,0.13561,0.13591,0.78892,0.99893,1,0.995,0.995,0.07905,0.08489,0.75613,0.001307,0.001307,0.001307
37,1933.75,0.13517,0.1335,0.786,0.99895,1,0.99442,0.99442,0.0819,0.0808,0.75559,0.0012872,0.0012872,0.0012872
38,1986.11,0.14312,0.14085,0.78758,0.99893,1,0.99488,0.99488,0.07883,0.08354,0.75611,0.0012674,0.0012674,0.0012674
39,2038.48,0.14313,0.14119,0.78713,0.99994,1,0.995,0.99498,0.08667,0.08632,0.75592,0.0012476,0.0012476,0.0012476
40,2090.78,0.13891,0.13997,0.78416,0.99892,1,0.995,0.995,0.07786,0.0857,0.75568,0.0012278,0.0012278,0.0012278
41,2143,0.13741,0.1354,0.78779,0.9988,1,0.99482,0.99482,0.08401,0.08523,0.75597,0.001208,0.001208,0.001208
42,2195.41,0.13495,0.13432,0.78865,0.99994,1,0.995,0.99491,0.07973,0.07894,0.75584,0.0011882,0.0011882,0.0011882
43,2247.79,0.13258,0.13041,0.78597,0.99983,1,0.995,0.995,0.07615,0.07647,0.75535,0.0011684,0.0011684,0.0011684
44,2300.26,0.134,0.12875,0.78569,0.99895,1,0.995,0.995,0.07521,0.08365,0.75467,0.0011486,0.0011486,0.0011486
45,2352.6,0.13501,0.1329,0.78898,0.99951,1,0.995,0.995,0.06949,0.07558,0.75527,0.0011288,0.0011288,0.0011288
46,2404.92,0.12621,0.12401,0.78957,0.99994,1,0.995,0.995,0.07037,0.06926,0.75512,0.001109,0.001109,0.001109
47,2457.43,0.13001,0.12491,0.78555,0.99962,1,0.995,0.995,0.07186,0.07241,0.75421,0.0010892,0.0010892,0.0010892
48,2509.97,0.13074,0.1262,0.78566,0.99964,1,0.995,0.99495,0.07692,0.07571,0.75504,0.0010694,0.0010694,0.0010694
49,2562.23,0.12925,0.12682,0.78751,0.99892,1,0.99487,0.99487,0.07163,0.07333,0.75466,0.0010496,0.0010496,0.0010496
50,2614.56,0.12746,0.12211,0.78721,0.99897,1,0.995,0.995,0.07366,0.07324,0.75451,0.0010298,0.0010298,0.0010298
51,2666.57,0.12349,0.11917,0.78494,0.99994,1,0.995,0.995,0.07223,0.06833,0.75534,0.00101,0.00101,0.00101
52,2719.05,0.12538,0.11958,0.78613,0.99995,1,0.995,0.995,0.07485,0.06977,0.75505,0.0009902,0.0009902,0.0009902
53,2771.4,0.1246,0.11829,0.78749,0.99894,1,0.995,0.995,0.07061,0.06961,0.75518,0.0009704,0.0009704,0.0009704
54,2823.6,0.12121,0.11852,0.78427,0.99994,1,0.995,0.995,0.06476,0.06436,0.75465,0.0009506,0.0009506,0.0009506
55,2875.87,0.12322,0.11702,0.78248,0.99926,1,0.995,0.995,0.06813,0.06675,0.75438,0.0009308,0.0009308,0.0009308
56,2928,0.12159,0.11649,0.78678,0.99993,1,0.995,0.995,0.06754,0.06433,0.75438,0.000911,0.000911,0.000911
57,2980.39,0.11701,0.11217,0.78421,0.99994,1,0.995,0.995,0.067,0.06171,0.75434,0.0008912,0.0008912,0.0008912
58,3032.58,0.11577,0.11202,0.78415,0.99994,1,0.995,0.995,0.06269,0.06265,0.75396,0.0008714,0.0008714,0.0008714
59,3084.92,0.11715,0.11369,0.78377,0.99993,1,0.995,0.995,0.06691,0.06349,0.75412,0.0008516,0.0008516,0.0008516
60,3137.11,0.11964,0.11434,0.78343,0.99915,1,0.995,0.995,0.06267,0.06279,0.75385,0.0008318,0.0008318,0.0008318
61,3189.29,0.1189,0.11389,0.78457,0.99994,1,0.995,0.995,0.06392,0.0628,0.75396,0.000812,0.000812,0.000812
62,3241.38,0.11583,0.1117,0.78431,0.99994,1,0.995,0.995,0.06225,0.06042,0.75384,0.0007922,0.0007922,0.0007922
63,3293.55,0.11266,0.10845,0.78235,0.99991,1,0.995,0.995,0.06766,0.06221,0.75388,0.0007724,0.0007724,0.0007724
64,3345.79,0.11053,0.10678,0.78224,0.99995,1,0.995,0.995,0.06088,0.05964,0.75371,0.0007526,0.0007526,0.0007526
65,3397.96,0.10937,0.10474,0.78464,0.99994,1,0.995,0.995,0.06185,0.0606,0.75372,0.0007328,0.0007328,0.0007328
66,3450.23,0.10834,0.10428,0.78682,0.99994,1,0.995,0.995,0.06184,0.05765,0.75389,0.000713,0.000713,0.000713
67,3502.25,0.10579,0.10098,0.78565,0.99994,1,0.995,0.995,0.06091,0.05608,0.7535,0.0006932,0.0006932,0.0006932
68,3554.47,0.10926,0.10507,0.78186,0.99993,1,0.995,0.995,0.05683,0.05487,0.75341,0.0006734,0.0006734,0.0006734
69,3606.66,0.109,0.10181,0.78244,0.99991,1,0.995,0.995,0.06122,0.05747,0.75378,0.0006536,0.0006536,0.0006536
70,3658.69,0.10815,0.10242,0.78489,0.99993,1,0.995,0.995,0.05714,0.05564,0.75358,0.0006338,0.0006338,0.0006338
71,3710.69,0.10701,0.1012,0.78274,0.99994,1,0.995,0.995,0.05936,0.05521,0.75369,0.000614,0.000614,0.000614
72,3762.93,0.10534,0.09939,0.78507,0.99994,1,0.995,0.995,0.05761,0.05445,0.75351,0.0005942,0.0005942,0.0005942
73,3815.02,0.10409,0.09727,0.78174,0.99992,1,0.995,0.995,0.05947,0.05496,0.75354,0.0005744,0.0005744,0.0005744
74,3867.09,0.1028,0.09716,0.78685,0.99995,1,0.995,0.995,0.05809,0.0528,0.75322,0.0005546,0.0005546,0.0005546
75,3919.12,0.1013,0.09662,0.78315,0.99995,1,0.995,0.995,0.05698,0.05377,0.753,0.0005348,0.0005348,0.0005348
76,3971.27,0.10292,0.09728,0.78248,0.99994,1,0.995,0.995,0.05562,0.05159,0.75309,0.000515,0.000515,0.000515
77,4023.32,0.09892,0.09247,0.78553,0.99994,1,0.995,0.995,0.0554,0.05197,0.75302,0.0004952,0.0004952,0.0004952
78,4075.51,0.09927,0.09456,0.78304,0.99995,1,0.995,0.995,0.05855,0.05418,0.75345,0.0004754,0.0004754,0.0004754
79,4127.47,0.09983,0.09505,0.78348,0.99995,1,0.995,0.995,0.05588,0.05334,0.75326,0.0004556,0.0004556,0.0004556
80,4179.6,0.10076,0.09549,0.78249,0.99995,1,0.995,0.995,0.0565,0.05356,0.75289,0.0004358,0.0004358,0.0004358
81,4231.67,0.10025,0.09512,0.78028,0.99994,1,0.995,0.995,0.05619,0.05198,0.75304,0.000416,0.000416,0.000416
82,4283.66,0.09566,0.08933,0.78081,0.99994,1,0.995,0.995,0.05436,0.04988,0.75283,0.0003962,0.0003962,0.0003962
83,4335.95,0.09669,0.09013,0.78341,0.99995,1,0.995,0.995,0.05626,0.05006,0.75261,0.0003764,0.0003764,0.0003764
84,4387.92,0.09667,0.09113,0.78541,0.99995,1,0.995,0.995,0.05453,0.05073,0.75305,0.0003566,0.0003566,0.0003566
85,4439.91,0.09431,0.0884,0.78626,0.99995,1,0.995,0.995,0.05402,0.04809,0.75284,0.0003368,0.0003368,0.0003368
86,4491.95,0.09313,0.08696,0.77974,0.99994,1,0.995,0.995,0.05222,0.04781,0.75283,0.000317,0.000317,0.000317
87,4544,0.09109,0.0856,0.78314,0.99995,1,0.995,0.995,0.0528,0.04727,0.7529,0.0002972,0.0002972,0.0002972
88,4596.05,0.0894,0.08521,0.78227,0.99995,1,0.995,0.995,0.05205,0.04646,0.75292,0.0002774,0.0002774,0.0002774
89,4648.15,0.08942,0.0831,0.78308,0.99994,1,0.995,0.995,0.05257,0.04608,0.75291,0.0002576,0.0002576,0.0002576
90,4700.21,0.08943,0.08116,0.78311,0.99995,1,0.995,0.995,0.05114,0.04477,0.75291,0.0002378,0.0002378,0.0002378
91,4766.27,0.07353,0.06605,0.77062,0.99995,1,0.995,0.995,0.05407,0.04815,0.75295,0.000218,0.000218,0.000218
92,4818.34,0.07093,0.0637,0.7711,0.99995,1,0.995,0.995,0.05312,0.04728,0.75256,0.0001982,0.0001982,0.0001982
93,4870.61,0.07083,0.06426,0.76741,0.99995,1,0.995,0.995,0.05342,0.04807,0.75276,0.0001784,0.0001784,0.0001784
94,4922.73,0.06749,0.06079,0.76748,0.99995,1,0.995,0.995,0.05192,0.04497,0.7527,0.0001586,0.0001586,0.0001586
95,4974.7,0.06727,0.06088,0.76489,0.99995,1,0.995,0.995,0.05226,0.04668,0.75272,0.0001388,0.0001388,0.0001388
96,5026.79,0.06691,0.06014,0.77044,0.99995,1,0.995,0.995,0.05159,0.046,0.75267,0.000119,0.000119,0.000119
97,5078.82,0.06543,0.05955,0.76729,0.99995,1,0.995,0.995,0.05133,0.046,0.75258,9.92e-05,9.92e-05,9.92e-05
98,5130.83,0.06429,0.05765,0.76986,0.99991,1,0.995,0.995,0.05097,0.04484,0.75256,7.94e-05,7.94e-05,7.94e-05
99,5182.86,0.06347,0.05621,0.77259,0.99991,1,0.995,0.995,0.04999,0.04336,0.75258,5.96e-05,5.96e-05,5.96e-05
100,5235,0.06304,0.0555,0.77023,0.99993,1,0.995,0.995,0.05058,0.04373,0.75254,3.98e-05,3.98e-05,3.98e-05
